address_id,address,matched,address_id2,address_matched,suburb,postcode,latitude,longitude,similarity
61,TENANCY F2 STOCKLAND SHOPPING CENTRE 120 331 YAAMBA ROAD ROCKHAMPTON 4701 QLD,1,15046274.0,SHOP 120 331 YAAMBA RD PARK AVENUE QLD 4701,PARK AVENUE,4701.0,-23.354171752929700,150.5222625732420,0.3608490566037740
62,SHOP 18 BURANDA VILLAGE CNR IPSWICH RD CORNWALL ST WOOLLONGABBA 4102 QLD,1,1282931.0,18 BURANDA ST WOOLLOONGABBA QLD 4102,WOOLLOONGABBA,4102.0,-27.493192672729500,153.04002380371100,0.5652173913043480
63,LINK FOOD MARKET THE LINK BUILDING GRIFFITH UNIVERSITY GOLD COAST CAMPUS PARKLANDS DRIVE SOUTHPORT 4215 QLD,1,2387011.0,GRIFFITH UNIVERSITY 58 PARKLANDS DR SOUTHPORT QLD 4215,SOUTHPORT,4215.0,-27.962814331054700,153.3805389404300,0.6120689655172410
64,SHOP 0009 GRAND CENTRAL SHOPPING CENTRE CNR MARGARET STREET VICTORIA STREET TOOWOOMBA 4350 QLD,0.5,5993487.0,GRAND CENTRAL SC SHOP 29 244 252 MARGARET ST TOOWOOMBA CITY QLD 4350,TOOWOOMBA CITY,4350.0,-27.5614070892334,151.95010375976600,0.3160377358490570
65,SHOP 1 1439 BEAUDESERT ROAD ACACIA RIDGE 4110 QLD,1,6152587.0,SHOP 1 1439 BEAUDESERT RD ACACIA RIDGE QLD 4110,ACACIA RIDGE,4110.0,-27.58905029296880,153.02706909179700,0.9264705882352940
66,1A 108 OLD CLEVELAND RD CAPALABA 4157 QLD,1,13644642.0,108 OLD CLEVELAND RD CAPALABA QLD 4157,CAPALABA,4157.0,-27.520191192627000,153.19345092773400,0.6289308176100630
67,FS004 27 49 BROWNS PLAINS ROAD GRAND PLAZA BROWNS PLAINS 4118 QLD,1,7601046.0,GRAND PLAZA SHOP 104 27 49 BROWNS PLAINS RD BROWNS PLAINS QLD 4118,BROWNS PLAINS,4118.0,-27.66288185119630,153.0403594970700,0.5777027027027030
68,TENANCY C 3 GATEWAY DRIVE AUGUSTINE HEIGHTS 4300 QLD,1,3249117.0,3 GATEWAY DR AUGUSTINE HEIGHTS QLD 4300,AUGUSTINE HEIGHTS,4300.0,-27.671539306640600,152.89581298828100,0.7746478873239440
69,1 BEACH RD MAROOCHYDORE 4558 QLD,1,8122853.0,1 BEACH RD MAROOCHYDORE QLD 4558,MAROOCHYDORE,4558.0,-26.652421951293900,153.08932495117200,0.9787234042553190
70,BUILDING J 1 COMMERCIAL ST COOMERA 4209 QLD,1,14829614.0,1 COMMERCIAL ST UPPER COOMERA QLD 4209,UPPER COOMERA,4209.0,-27.85016441345220,153.30177307128900,0.6666666666666670
71,PO2 STOCKLAND BURLEIGH HEADS 143 WEST BURLEIGH RD BURLEIGH HEAD 4220 QLD,0,2952995.0,143 GEORGE ST WEST BURLEIGH HEADS QLD 4220,BURLEIGH HEADS,4220.0,-28.092344284057600,153.444580078125,0.4588744588744590
72,SHOP 1105 L01 HIGHPOINT SHOPPING CENTRE 200 ROSAMOND RD MARIBYRNONG 3032 VIC,1,294707.0,HIGHPOINT SHOPPING CENTRE UNIT 1105 120 200 ROSAMOND RD MARIBYRNONG VIC 3032,MARIBYRNONG,3032.0,-37.77289962768560,144.88636779785200,0.6328125
73,289 299 SWANSTON ST MELBOURNE 3000 VIC,1,15265314.0,LEVEL 1 289 299 SWANSTON ST MELBOURNE VIC 3000,MELBOURNE,3000.0,-37.811180114746100,144.96432495117200,0.8548387096774190
74,COLLINS PLACE FOOD COURT TENANCY 53 45 COLLINS STREET MELBOURNE 3000 VIC,1,14033817.0,SHOP 53 45 COLLINS ST MELBOURNE VIC 3000,MELBOURNE,3000.0,-37.81462478637700,144.97203063964800,0.6046511627906980
75,SHOP 1118 WESTFIELD FOUNTAIN GATE 352 PRINCES HIGHWAY NARRE WARREN 3805 VIC,1,931928.0,WESTFIELD FOUNTAIN GATE SHOPPING CENTRE SHOP 1118 25 55 OVERLAND DR NARRE WARREN VIC 3805,NARRE WARREN,3805.0,-38.02092361450200,145.30763244628900,0.43452380952381000
76,RE06 PACIFIC WERRIBEE SHOPPING CENTRE CNR DERRIMUT AND HEATHS ROADS WERRIBEE 3030 VIC,0,,,,,,,
77,TENANCY 7AA 567 COLLINS ST MELBOURNE 3000 VIC,1,8978962.0,TENANCY 7A 567 COLLINS ST MELBOURNE VIC 3000,MELBOURNE,3000.0,-37.818843841552700,144.95565795898400,0.6358974358974360
78,SHOP 6 7 190 TOORAK ROAD SOUTH YARRA 3141 VIC,1,2162812.0,LEVEL G 190 TOORAK RD SOUTH YARRA VIC 3141,SOUTH YARRA,3141.0,-37.839378356933600,144.99337768554700,0.3246753246753250
79,21 CHANCELLOR S WALK MONASH UNIVERSITY CLAYTON CAMPUS MELBOURNE 3800 VIC,0,8454467.0,21 CHANCELLOR AV WERRIBEE VIC 3030,WERRIBEE,3030.0,-37.899375915527300,144.59616088867200,0.18137254901960800
80,SHOP 1 674 680 GLENFERRIE ROAD HAWTHORN 3122 VIC,1,4865783.0,UNIT 1 674 680 GLENFERRIE RD HAWTHORN VIC 3122,HAWTHORN,3122.0,-37.820892333984400,145.03590393066400,0.7948717948717950
81,150 158 CONDON STREET KENNINGTON 3550 VIC,1,10853195.0,150 158 CONDON ST KENNINGTON VIC 3550,KENNINGTON,3550.0,-36.7744255065918,144.30691528320300,0.8867924528301890
